"Year","Month","Day","Extent","Missing","hemisphere"
2009,1,1,13.189,0,"north"
2009,1,2,13.18,0,"north"
2009,1,3,13.267,0,"north"
2009,1,4,13.286,0,"north"
2009,1,5,13.352,0,"north"
2009,1,6,13.447,0,"north"
2009,1,7,13.478,0,"north"
2009,1,8,13.586,0,"north"
2009,1,9,13.646,0,"north"
2009,1,10,13.73,0,"north"
2009,1,11,13.777,0,"north"
2009,1,12,13.79,0,"north"
2009,1,13,13.857,0,"north"
2009,1,14,14.008,0,"north"
2009,1,15,14.115,0,"north"
2009,1,16,14.123,0,"north"
2009,1,17,14.094,0,"north"
2009,1,18,14.162,0,"north"
2009,1,19,14.268,0,"north"
2009,1,20,14.19,0,"north"
2009,1,21,14.168,0,"north"
2009,1,22,14.251,0,"north"
2009,1,23,14.232,0,"north"
2009,1,24,14.184,0,"north"
2009,1,25,14.166,0,"north"
2009,1,26,14.133,0,"north"
2009,1,27,14.231,0,"north"
2009,1,28,14.291,0,"north"
2009,1,29,14.336,0,"north"
2009,1,30,14.38,0,"north"
2009,1,31,14.408,0,"north"
2009,2,1,14.502,0,"north"
2009,2,2,14.604,0,"north"
2009,2,3,14.531,0,"north"
2009,2,4,14.507,0,"north"
2009,2,5,14.58,0,"north"
2009,2,6,14.662,0,"north"
2009,2,7,14.774,0,"north"
2009,2,8,14.856,0,"north"
2009,2,9,14.879,0,"north"
2009,2,10,14.853,0,"north"
2009,2,11,14.772,0,"north"
2009,2,12,14.762,0,"north"
2009,2,13,14.845,0,"north"
2009,2,14,14.848,0,"north"
2009,2,15,14.882,0,"north"
2009,2,16,14.901,0,"north"
2009,2,17,14.982,0,"north"
2009,2,18,14.969,0,"north"
2009,2,19,14.851,0,"north"
2009,2,20,14.872,0,"north"
2009,2,21,14.882,0,"north"
2009,2,22,14.8,0,"north"
2009,2,23,14.811,0,"north"
2009,2,24,14.809,0,"north"
2009,2,25,14.847,0,"north"
2009,2,26,14.991,0,"north"
2009,2,27,15.039,0,"north"
2009,2,28,15.112,0,"north"
2009,3,1,15.168,0,"north"
2009,3,2,15.195,0,"north"
2009,3,3,15.126,0,"north"
2009,3,4,15.067,0,"north"
2009,3,5,15.123,0,"north"
2009,3,6,15.162,0,"north"
2009,3,7,15.076,0,"north"
2009,3,8,14.955,0,"north"
2009,3,9,14.878,0,"north"
